augmented_view_id,feature_id,feature_name,source_geometry_id,source_instance_id,source_image_file,augmentation_id,augmentation_type,rotation_deg,translation_x_px,translation_y_px,mirror,augmented_image_file,sha256
F00_SRC_003_V03,F00,high-angle drafted groove,F00_GEOM_003,F00_SRC_003,data/raw/cv20/images/0/classes/0/0001 (2).png,AUG_03,horizontal-mirror-rotation,20,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_003/F00_SRC_003_V03.png,d4af0f9fc5a5c9d069b47a7c71ba409f7ded548f4d8b1c9ac0fde0dd4eeaf8a1
F00_SRC_004_V00,F00,high-angle drafted groove,F00_GEOM_004,F00_SRC_004,data/raw/cv20/images/0/classes/0/0001.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V00.png,55894de872a3d436b8cc97afb0bf5f82179ce7dbe7b965ea160d1850f8c5d1eb
F00_SRC_004_V01,F00,high-angle drafted groove,F00_GEOM_004,F00_SRC_004,data/raw/cv20/images/0/classes/0/0001.png,AUG_01,rotation,45,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V01.png,8e02df5147320fba45dabc9eaea5a071c99a04db47fde901f007a65927a59c37
F00_SRC_004_V02,F00,high-angle drafted groove,F00_GEOM_004,F00_SRC_004,data/raw/cv20/images/0/classes/0/0001.png,AUG_02,translation,0,1,1,no,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V02.png,c36892b13a61dcd1ad8cfe6cc4f3bd52b2141188afa1cd267f9aa3a5f1d9fe48
F00_SRC_004_V03,F00,high-angle drafted groove,F00_GEOM_004,F00_SRC_004,data/raw/cv20/images/0/classes/0/0001.png,AUG_03,horizontal-mirror-rotation,25,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V03.png,37bd270d3c6f5ad8a8ecfcab87d96e050193ccaca3d228327575dff8e2e35c88
F00_SRC_005_V00,F00,high-angle drafted groove,F00_GEOM_005,F00_SRC_005,data/raw/cv20/images/0/classes/0/0002 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V00.png,e3041d65df85f9c52589401554a90a128d3119cc5177a9d2b40ef8dd8eedaa4f
F00_SRC_005_V01,F00,high-angle drafted groove,F00_GEOM_005,F00_SRC_005,data/raw/cv20/images/0/classes/0/0002 (2).png,AUG_01,rotation,10,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V01.png,782ae40b980d9856545e9f25bf1fe9c71612f21c4c6a63de9aa866ac68ec5027
F00_SRC_005_V02,F00,high-angle drafted groove,F00_GEOM_005,F00_SRC_005,data/raw/cv20/images/0/classes/0/0002 (2).png,AUG_02,translation,0,2,2,no,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V02.png,5feb5972ac3039119a3c1101fc796088a739d7dfc9b1b5bd3f120dc43fa7dff2
F00_SRC_005_V03,F00,high-angle drafted groove,F00_GEOM_005,F00_SRC_005,data/raw/cv20/images/0/classes/0/0002 (2).png,AUG_03,horizontal-mirror-rotation,5,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V03.png,5b6d6af15544522d45b183295a99025f9efb732031f0fb0674eecd06ee805e01
F00_SRC_006_V00,F00,high-angle drafted groove,F00_GEOM_006,F00_SRC_006,data/raw/cv20/images/0/classes/0/0002.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V00.png,a0feb51ce2fb9e196d5046d1cf04324b7253c980fd5a77029840c07090bb85fb
F00_SRC_006_V01,F00,high-angle drafted groove,F00_GEOM_006,F00_SRC_006,data/raw/cv20/images/0/classes/0/0002.png,AUG_01,rotation,20,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V01.png,789ad1cb28e59ab566bd50b679da79395eafcfa2640bd5e4b150486fc8a624d2
F00_SRC_006_V02,F00,high-angle drafted groove,F00_GEOM_006,F00_SRC_006,data/raw/cv20/images/0/classes/0/0002.png,AUG_02,translation,0,3,3,no,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V02.png,34729ccf9110266a6a072b3eeb768863176e662280188296dfce3c74011aa50d
F00_SRC_006_V03,F00,high-angle drafted groove,F00_GEOM_006,F00_SRC_006,data/raw/cv20/images/0/classes/0/0002.png,AUG_03,horizontal-mirror-rotation,10,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V03.png,a9ab969999060fd2c121732e44b99c26c0a4b4e40a5c025e50e7044f9f255d1c
F00_SRC_007_V00,F00,high-angle drafted groove,F00_GEOM_007,F00_SRC_007,data/raw/cv20/images/0/classes/0/0003 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V00.png,5ed02832fb7f06a15b4dda189fac793be0be2255c9272ea5908ee3e5a6102d06
F00_SRC_007_V01,F00,high-angle drafted groove,F00_GEOM_007,F00_SRC_007,data/raw/cv20/images/0/classes/0/0003 (2).png,AUG_01,rotation,30,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V01.png,8955289b899c12e56e3d039c2ed0fd2cba4e428e68c1e4e687da8c932d12d164
F00_SRC_007_V02,F00,high-angle drafted groove,F00_GEOM_007,F00_SRC_007,data/raw/cv20/images/0/classes/0/0003 (2).png,AUG_02,translation,0,-3,-3,no,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V02.png,8401ed64dd8e955940441e80e765b6936bdcf29452baed5e549756f46a341d2e
F00_SRC_007_V03,F00,high-angle drafted groove,F00_GEOM_007,F00_SRC_007,data/raw/cv20/images/0/classes/0/0003 (2).png,AUG_03,horizontal-mirror-rotation,15,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V03.png,d668266e7d16e4510ec47ea45c5cbb012844a5279270be1d74498914c44abcb0
F00_SRC_008_V00,F00,high-angle drafted groove,F00_GEOM_008,F00_SRC_008,data/raw/cv20/images/0/classes/0/0003.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V00.png,9d10c1b51ae14e9c60ff2390aa9370314d7fe25e3125900d7a7913b27c96c2e3
F00_SRC_008_V01,F00,high-angle drafted groove,F00_GEOM_008,F00_SRC_008,data/raw/cv20/images/0/classes/0/0003.png,AUG_01,rotation,40,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V01.png,af629badfd758949fa2463324fae9f5690eb06b07b74b0059f6a3704449aeaf6
F00_SRC_008_V02,F00,high-angle drafted groove,F00_GEOM_008,F00_SRC_008,data/raw/cv20/images/0/classes/0/0003.png,AUG_02,translation,0,-2,-2,no,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V02.png,6fad9eed0dd9d9dd8977fd69718a8dd5e1999473f90caf785ac7d30d854adfff
F00_SRC_008_V03,F00,high-angle drafted groove,F00_GEOM_008,F00_SRC_008,data/raw/cv20/images/0/classes/0/0003.png,AUG_03,horizontal-mirror-rotation,20,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V03.png,adf694fac674cf6e235dd60d17c58b5c763dbd160df2227e3ee30c576a8adfc7
F00_SRC_009_V00,F00,high-angle drafted groove,F00_GEOM_009,F00_SRC_009,data/raw/cv20/images/0/classes/0/0004 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V00.png,09dc2fb036dc6585c451e181d0721156d271b1f86b153ca6766c61fc61cdce04
F00_SRC_009_V01,F00,high-angle drafted groove,F00_GEOM_009,F00_SRC_009,data/raw/cv20/images/0/classes/0/0004 (2).png,AUG_01,rotation,5,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V01.png,3986beb0632f9ea4134aff69cab20576bbd7397fb5c91125d79ea3078880dd35
F00_SRC_009_V02,F00,high-angle drafted groove,F00_GEOM_009,F00_SRC_009,data/raw/cv20/images/0/classes/0/0004 (2).png,AUG_02,translation,0,-1,-1,no,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V02.png,5a6261ae4fa318dc8cf6a1ec69a898d86fc2b43bd76fc7724e22ca6f9344ae23
F00_SRC_009_V03,F00,high-angle drafted groove,F00_GEOM_009,F00_SRC_009,data/raw/cv20/images/0/classes/0/0004 (2).png,AUG_03,horizontal-mirror-rotation,25,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V03.png,70c762b995b84fb65e4e81bcb0a05cc68bd8539a83f9cc844d7c85f9d7402543
F00_SRC_010_V00,F00,high-angle drafted groove,F00_GEOM_010,F00_SRC_010,data/raw/cv20/images/0/classes/0/0004.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V00.png,abeb9a0b583eb887af635d2702c36019ec192ce93debe210b9d19dfb6d5ee9a6
F00_SRC_010_V01,F00,high-angle drafted groove,F00_GEOM_010,F00_SRC_010,data/raw/cv20/images/0/classes/0/0004.png,AUG_01,rotation,15,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V01.png,c2f7b4d394b4ec5defa00c4452dc661a1fa3c7c172da7beaa7e62e6661257678
F00_SRC_010_V02,F00,high-angle drafted groove,F00_GEOM_010,F00_SRC_010,data/raw/cv20/images/0/classes/0/0004.png,AUG_02,translation,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V02.png,abeb9a0b583eb887af635d2702c36019ec192ce93debe210b9d19dfb6d5ee9a6
F00_SRC_010_V03,F00,high-angle drafted groove,F00_GEOM_010,F00_SRC_010,data/raw/cv20/images/0/classes/0/0004.png,AUG_03,horizontal-mirror-rotation,5,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V03.png,6bad3cc882463a20f75ea0362d65ec317453b7ff853c0336a7a34e4972325159
F00_SRC_011_V00,F00,high-angle drafted groove,F00_GEOM_011,F00_SRC_011,data/raw/cv20/images/0/classes/0/0005 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V00.png,973225db70854d26e92e97daf213462bda92fb679f3173826c1131cdd6fd6077
F00_SRC_011_V01,F00,high-angle drafted groove,F00_GEOM_011,F00_SRC_011,data/raw/cv20/images/0/classes/0/0005 (2).png,AUG_01,rotation,25,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V01.png,dcf9b193e8a71df03cf112ed2dca3d65cc9051967fdf0285e4cda91b123e9af3
F00_SRC_011_V02,F00,high-angle drafted groove,F00_GEOM_011,F00_SRC_011,data/raw/cv20/images/0/classes/0/0005 (2).png,AUG_02,translation,0,1,1,no,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V02.png,0fba7577bfb7e693e56e6778dc8386d330d25a0212839f3e2e1c68f4137a82e1
F00_SRC_011_V03,F00,high-angle drafted groove,F00_GEOM_011,F00_SRC_011,data/raw/cv20/images/0/classes/0/0005 (2).png,AUG_03,horizontal-mirror-rotation,10,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V03.png,f7dc1a627fa5f1253d647f600ba4754cb80b112e1b51f8e22588b7249607b503
F00_SRC_012_V00,F00,high-angle drafted groove,F00_GEOM_012,F00_SRC_012,data/raw/cv20/images/0/classes/0/0005.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V00.png,0eac33f674cdeaf77f7196837245b952219b6530c78a837edd1f89e1ddb60a29
F00_SRC_012_V01,F00,high-angle drafted groove,F00_GEOM_012,F00_SRC_012,data/raw/cv20/images/0/classes/0/0005.png,AUG_01,rotation,35,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V01.png,84d109acef1072e2a869d61455b9b863e04e39c4c391ad3bf4144cb5b343ac78
F00_SRC_012_V02,F00,high-angle drafted groove,F00_GEOM_012,F00_SRC_012,data/raw/cv20/images/0/classes/0/0005.png,AUG_02,translation,0,2,2,no,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V02.png,c0846fae51ba9ea35148c0bd8bd3bfd6534b0f71f92f6b29bbe4d5bbe3593df8
F00_SRC_012_V03,F00,high-angle drafted groove,F00_GEOM_012,F00_SRC_012,data/raw/cv20/images/0/classes/0/0005.png,AUG_03,horizontal-mirror-rotation,15,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V03.png,1dcfe815b7d2bc840f6b3ed654b14b0585e25a55c35e69301cb53e7069d6b44c
F00_SRC_013_V00,F00,high-angle drafted groove,F00_GEOM_013,F00_SRC_013,data/raw/cv20/images/0/classes/0/0006 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V00.png,282a10cbb7c314514743d3fb369d9fb061c097b6e281ea6eb282414a20c3454a
F00_SRC_013_V01,F00,high-angle drafted groove,F00_GEOM_013,F00_SRC_013,data/raw/cv20/images/0/classes/0/0006 (2).png,AUG_01,rotation,45,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V01.png,912af800946375778eb5e9cec5c8cdaf2e0dc788db2cea8bb1a1bfedc46b772b
F00_SRC_013_V02,F00,high-angle drafted groove,F00_GEOM_013,F00_SRC_013,data/raw/cv20/images/0/classes/0/0006 (2).png,AUG_02,translation,0,3,3,no,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V02.png,0f390862c906c6c2e1c66474ff5aa08d72e6e71d7ac755422ec55adda650a4e4
F00_SRC_013_V03,F00,high-angle drafted groove,F00_GEOM_013,F00_SRC_013,data/raw/cv20/images/0/classes/0/0006 (2).png,AUG_03,horizontal-mirror-rotation,20,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V03.png,6bae77e7536d50ce883a53043ff89aebb09a80dc1e33ad453ac8fbeaa386b4c1
F00_SRC_014_V00,F00,high-angle drafted groove,F00_GEOM_014,F00_SRC_014,data/raw/cv20/images/0/classes/0/0006.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V00.png,53ce6e5daae9d8df261f661d827e0d15c00dfbae796b643fb4238bb9f37ead2e
F00_SRC_014_V01,F00,high-angle drafted groove,F00_GEOM_014,F00_SRC_014,data/raw/cv20/images/0/classes/0/0006.png,AUG_01,rotation,10,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V01.png,fa7660833572030be8acec9b01e4d8269c93c059f8450bba667eccbd1db058aa
F00_SRC_014_V02,F00,high-angle drafted groove,F00_GEOM_014,F00_SRC_014,data/raw/cv20/images/0/classes/0/0006.png,AUG_02,translation,0,-3,-3,no,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V02.png,37e128f94e062ec578ec30540e7fa27d1a43abcf70da219f72eac271132e6833
F00_SRC_014_V03,F00,high-angle drafted groove,F00_GEOM_014,F00_SRC_014,data/raw/cv20/images/0/classes/0/0006.png,AUG_03,horizontal-mirror-rotation,25,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V03.png,cf0f9d5872e05b3871d07f09b97fc6662017d68182567cf84d564e208a5c3f7d
F00_SRC_015_V00,F00,high-angle drafted groove,F00_GEOM_015,F00_SRC_015,data/raw/cv20/images/0/classes/0/0007 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V00.png,6428fd47ca5e5626298fe2de7e3ee2dfad3b6035e14ea18da5101b989755115e
F00_SRC_015_V01,F00,high-angle drafted groove,F00_GEOM_015,F00_SRC_015,data/raw/cv20/images/0/classes/0/0007 (2).png,AUG_01,rotation,20,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V01.png,7c19991a0d2390a86e03eef0851b3b0203d2d80710da86459d1b3662ea5dfefb
F00_SRC_015_V02,F00,high-angle drafted groove,F00_GEOM_015,F00_SRC_015,data/raw/cv20/images/0/classes/0/0007 (2).png,AUG_02,translation,0,-2,-2,no,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V02.png,963201228c61833085d82a8852112b0930c5f97b9d82cfa38acad0b291159d0f
F00_SRC_015_V03,F00,high-angle drafted groove,F00_GEOM_015,F00_SRC_015,data/raw/cv20/images/0/classes/0/0007 (2).png,AUG_03,horizontal-mirror-rotation,5,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V03.png,467bbcbeb1d5c99bf0e228f5b33912cdc2db93e6802e92aefe0ac4379bd11ade
F00_SRC_016_V00,F00,high-angle drafted groove,F00_GEOM_016,F00_SRC_016,data/raw/cv20/images/0/classes/0/0007.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_016/F00_SRC_016_V00.png,fa7027d16ec7c95577fccbbf95443475f4e804bfe0956e2cc256ed61438442b5
F00_SRC_016_V01,F00,high-angle drafted groove,F00_GEOM_016,F00_SRC_016,data/raw/cv20/images/0/classes/0/0007.png,AUG_01,rotation,30,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_016/F00_SRC_016_V01.png,7d475793aa4b2e934296dca2e0f40dd9bfd9fdca5e92f7ace5d4089ecadcfd4e
F00_SRC_016_V02,F00,high-angle drafted groove,F00_GEOM_016,F00_SRC_016,data/raw/cv20/images/0/classes/0/0007.png,AUG_02,translation,0,-1,-1,no,data/processed/cv20_augmented/images/F00/F00_SRC_016/F00_SRC_016_V02.png,c61338ffe535d774d2cc9ab88973c76a96d8bae7065eef697177189056b33a52
F00_SRC_016_V03,F00,high-angle drafted groove,F00_GEOM_016,F00_SRC_016,data/raw/cv20/images/0/classes/0/0007.png,AUG_03,horizontal-mirror-rotation,10,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_016/F00_SRC_016_V03.png,5506f51a2fdbe7be527beeefc798ec1e58d98919b11bff5e27b60a4bda432d80
F00_SRC_017_V00,F00,high-angle drafted groove,F00_GEOM_017,F00_SRC_017,data/raw/cv20/images/0/classes/0/0008 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_017/F00_SRC_017_V00.png,0692a3d11a7a85c2f717928561fed421b8ad6896771742262a02b72d2d5a1db4
F00_SRC_017_V01,F00,high-angle drafted groove,F00_GEOM_017,F00_SRC_017,data/raw/cv20/images/0/classes/0/0008 (2).png,AUG_01,rotation,40,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_017/F00_SRC_017_V01.png,c0048d633d6a927b20463b31540ec428ab81af83d80807843ab40f9b9aa261b1
F00_SRC_017_V02,F00,high-angle drafted groove,F00_GEOM_017,F00_SRC_017,data/raw/cv20/images/0/classes/0/0008 (2).png,AUG_02,translation,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_017/F00_SRC_017_V02.png,0692a3d11a7a85c2f717928561fed421b8ad6896771742262a02b72d2d5a1db4
F00_SRC_017_V03,F00,high-angle drafted groove,F00_GEOM_017,F00_SRC_017,data/raw/cv20/images/0/classes/0/0008 (2).png,AUG_03,horizontal-mirror-rotation,15,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_017/F00_SRC_017_V03.png,41e72448412cb99707fc5abc49e1cf01761675af76862d0688fd2bb99f1306c7
F00_SRC_018_V00,F00,high-angle drafted groove,F00_GEOM_018,F00_SRC_018,data/raw/cv20/images/0/classes/0/0008.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_018/F00_SRC_018_V00.png,818040d6def8320f77bf7eda5fc5d6dcbeafb3abd605c33073b8b50d422e8998
F00_SRC_018_V01,F00,high-angle drafted groove,F00_GEOM_018,F00_SRC_018,data/raw/cv20/images/0/classes/0/0008.png,AUG_01,rotation,5,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_018/F00_SRC_018_V01.png,1830c4a888cba07cbb7c9c2b56cc96d20cd95e6315a6c9a23ccd9187ca42b0f9
F00_SRC_018_V02,F00,high-angle drafted groove,F00_GEOM_018,F00_SRC_018,data/raw/cv20/images/0/classes/0/0008.png,AUG_02,translation,0,1,1,no,data/processed/cv20_augmented/images/F00/F00_SRC_018/F00_SRC_018_V02.png,ba02b813c271c6b1b287493b9d667d2e0f994cef7ba5a9a34562ca132b778ea6
F00_SRC_018_V03,F00,high-angle drafted groove,F00_GEOM_018,F00_SRC_018,data/raw/cv20/images/0/classes/0/0008.png,AUG_03,horizontal-mirror-rotation,20,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_018/F00_SRC_018_V03.png,359b784f509a5b7eee2fe25c74d7b9da41a86fc1ad41d1e81eb225ed4beac383
F00_SRC_019_V00,F00,high-angle drafted groove,F00_GEOM_019,F00_SRC_019,data/raw/cv20/images/0/classes/0/0009 (2).png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_019/F00_SRC_019_V00.png,7623d64b6d835dc77922e0632ffccb6651746132695f230ac43c5868a852ea8a
F00_SRC_019_V01,F00,high-angle drafted groove,F00_GEOM_019,F00_SRC_019,data/raw/cv20/images/0/classes/0/0009 (2).png,AUG_01,rotation,15,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_019/F00_SRC_019_V01.png,92a1c3ce603f91647e3001f140c7cfab9d085047e737dbd0947be5487c4d957d
F00_SRC_019_V02,F00,high-angle drafted groove,F00_GEOM_019,F00_SRC_019,data/raw/cv20/images/0/classes/0/0009 (2).png,AUG_02,translation,0,2,2,no,data/processed/cv20_augmented/images/F00/F00_SRC_019/F00_SRC_019_V02.png,3344c32f081a69d93e3bb2fa49ebbdd8163d951f32040ad695ca939b658eb07e
F00_SRC_019_V03,F00,high-angle drafted groove,F00_GEOM_019,F00_SRC_019,data/raw/cv20/images/0/classes/0/0009 (2).png,AUG_03,horizontal-mirror-rotation,25,0,0,horizontal,data/processed/cv20_augmented/images/F00/F00_SRC_019/F00_SRC_019_V03.png,64a9328ba279c7723489b76814a32a2677be04b915a8c85196cfd9683bab897b
F00_SRC_020_V00,F00,high-angle drafted groove,F00_GEOM_020,F00_SRC_020,data/raw/cv20/images/0/classes/0/0009.png,AUG_00,base-normalized,0,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_020/F00_SRC_020_V00.png,6f31dc51ea02693b3a4faacdeaca4eaa658971c476d50d13dbe5096ade29d26a
F00_SRC_020_V01,F00,high-angle drafted groove,F00_GEOM_020,F00_SRC_020,data/raw/cv20/images/0/classes/0/0009.png,AUG_01,rotation,25,0,0,no,data/processed/cv20_augmented/images/F00/F00_SRC_020/F00_SRC_020_V01.png,4da3f19ef10182c6f9f450fc03e0075988373502f9fdb392dc5dbc9274ed409f
F00_SRC_020_V02,F00,high-angle drafted groove,F00_GEOM_020,F00_SRC_020,data/raw/cv20/images/0/classes/0/0009.png,AUG_02,translation,0,3,3,no,data/processed/cv20_augmented/images/F00/F00_SRC_020/F00_SRC_020_V02.png,d748a50092238debfb4976fabc6935ecc6cc70dcbec32b1e9f29dff473cf55e8
