sample_id,case_id,feature_id,source_geometry_id,source_instance_id,view_id,augmentation_id,instruction_id,split_id,image_file,cad_model_file,kg_file,prompt_template,retrieval_exclusion_key,is_from_heldout_validation_case,is_validation_representative_sample,validation_record_key
AI5K_00016,F00_CASE_004,F00,F00_GEOM_004,F00_SRC_004,F00_SRC_004_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_004,0,0,
AI5K_00017,F00_CASE_004,F00,F00_GEOM_004,F00_SRC_004,F00_SRC_004_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_004,0,0,
AI5K_00018,F00_CASE_004,F00,F00_GEOM_004,F00_SRC_004,F00_SRC_004_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_004,0,0,
AI5K_00019,F00_CASE_004,F00,F00_GEOM_004,F00_SRC_004,F00_SRC_004_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_004,0,0,
AI5K_00020,F00_CASE_004,F00,F00_GEOM_004,F00_SRC_004,F00_SRC_004_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_004/F00_SRC_004_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_004,0,0,
AI5K_00021,F00_CASE_005,F00,F00_GEOM_005,F00_SRC_005,F00_SRC_005_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_005,0,0,
AI5K_00022,F00_CASE_005,F00,F00_GEOM_005,F00_SRC_005,F00_SRC_005_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_005,0,0,
AI5K_00023,F00_CASE_005,F00,F00_GEOM_005,F00_SRC_005,F00_SRC_005_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_005,0,0,
AI5K_00024,F00_CASE_005,F00,F00_GEOM_005,F00_SRC_005,F00_SRC_005_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_005,0,0,
AI5K_00025,F00_CASE_005,F00,F00_GEOM_005,F00_SRC_005,F00_SRC_005_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_005/F00_SRC_005_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_005,0,0,
AI5K_00026,F00_CASE_006,F00,F00_GEOM_006,F00_SRC_006,F00_SRC_006_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_006,0,0,
AI5K_00027,F00_CASE_006,F00,F00_GEOM_006,F00_SRC_006,F00_SRC_006_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_006,0,0,
AI5K_00028,F00_CASE_006,F00,F00_GEOM_006,F00_SRC_006,F00_SRC_006_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_006,0,0,
AI5K_00029,F00_CASE_006,F00,F00_GEOM_006,F00_SRC_006,F00_SRC_006_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_006,0,0,
AI5K_00030,F00_CASE_006,F00,F00_GEOM_006,F00_SRC_006,F00_SRC_006_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_006/F00_SRC_006_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_006,0,0,
AI5K_00031,F00_CASE_007,F00,F00_GEOM_007,F00_SRC_007,F00_SRC_007_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_007,0,0,
AI5K_00032,F00_CASE_007,F00,F00_GEOM_007,F00_SRC_007,F00_SRC_007_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_007,0,0,
AI5K_00033,F00_CASE_007,F00,F00_GEOM_007,F00_SRC_007,F00_SRC_007_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_007,0,0,
AI5K_00034,F00_CASE_007,F00,F00_GEOM_007,F00_SRC_007,F00_SRC_007_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_007,0,0,
AI5K_00035,F00_CASE_007,F00,F00_GEOM_007,F00_SRC_007,F00_SRC_007_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_007/F00_SRC_007_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_007,0,0,
AI5K_00036,F00_CASE_008,F00,F00_GEOM_008,F00_SRC_008,F00_SRC_008_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_008,0,0,
AI5K_00037,F00_CASE_008,F00,F00_GEOM_008,F00_SRC_008,F00_SRC_008_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_008,0,0,
AI5K_00038,F00_CASE_008,F00,F00_GEOM_008,F00_SRC_008,F00_SRC_008_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_008,0,0,
AI5K_00039,F00_CASE_008,F00,F00_GEOM_008,F00_SRC_008,F00_SRC_008_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_008,0,0,
AI5K_00040,F00_CASE_008,F00,F00_GEOM_008,F00_SRC_008,F00_SRC_008_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_008/F00_SRC_008_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_008,0,0,
AI5K_00041,F00_CASE_009,F00,F00_GEOM_009,F00_SRC_009,F00_SRC_009_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_009,0,0,
AI5K_00042,F00_CASE_009,F00,F00_GEOM_009,F00_SRC_009,F00_SRC_009_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_009,0,0,
AI5K_00043,F00_CASE_009,F00,F00_GEOM_009,F00_SRC_009,F00_SRC_009_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_009,0,0,
AI5K_00044,F00_CASE_009,F00,F00_GEOM_009,F00_SRC_009,F00_SRC_009_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_009,0,0,
AI5K_00045,F00_CASE_009,F00,F00_GEOM_009,F00_SRC_009,F00_SRC_009_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_009/F00_SRC_009_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_009,0,0,
AI5K_00046,F00_CASE_010,F00,F00_GEOM_010,F00_SRC_010,F00_SRC_010_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_010,0,0,
AI5K_00047,F00_CASE_010,F00,F00_GEOM_010,F00_SRC_010,F00_SRC_010_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_010,0,0,
AI5K_00048,F00_CASE_010,F00,F00_GEOM_010,F00_SRC_010,F00_SRC_010_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_010,0,0,
AI5K_00049,F00_CASE_010,F00,F00_GEOM_010,F00_SRC_010,F00_SRC_010_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_010,0,0,
AI5K_00050,F00_CASE_010,F00,F00_GEOM_010,F00_SRC_010,F00_SRC_010_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_010/F00_SRC_010_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_010,0,0,
AI5K_00051,F00_CASE_011,F00,F00_GEOM_011,F00_SRC_011,F00_SRC_011_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_011,0,0,
AI5K_00052,F00_CASE_011,F00,F00_GEOM_011,F00_SRC_011,F00_SRC_011_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_011,0,0,
AI5K_00053,F00_CASE_011,F00,F00_GEOM_011,F00_SRC_011,F00_SRC_011_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_011,0,0,
AI5K_00054,F00_CASE_011,F00,F00_GEOM_011,F00_SRC_011,F00_SRC_011_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_011,0,0,
AI5K_00055,F00_CASE_011,F00,F00_GEOM_011,F00_SRC_011,F00_SRC_011_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_011/F00_SRC_011_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_011,0,0,
AI5K_00056,F00_CASE_012,F00,F00_GEOM_012,F00_SRC_012,F00_SRC_012_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_012,0,0,
AI5K_00057,F00_CASE_012,F00,F00_GEOM_012,F00_SRC_012,F00_SRC_012_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_012,0,0,
AI5K_00058,F00_CASE_012,F00,F00_GEOM_012,F00_SRC_012,F00_SRC_012_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_012,0,0,
AI5K_00059,F00_CASE_012,F00,F00_GEOM_012,F00_SRC_012,F00_SRC_012_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_012,0,0,
AI5K_00060,F00_CASE_012,F00,F00_GEOM_012,F00_SRC_012,F00_SRC_012_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_012/F00_SRC_012_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_012,0,0,
AI5K_00061,F00_CASE_013,F00,F00_GEOM_013,F00_SRC_013,F00_SRC_013_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_013,0,0,
AI5K_00062,F00_CASE_013,F00,F00_GEOM_013,F00_SRC_013,F00_SRC_013_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_013,0,0,
AI5K_00063,F00_CASE_013,F00,F00_GEOM_013,F00_SRC_013,F00_SRC_013_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_013,0,0,
AI5K_00064,F00_CASE_013,F00,F00_GEOM_013,F00_SRC_013,F00_SRC_013_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_013,0,0,
AI5K_00065,F00_CASE_013,F00,F00_GEOM_013,F00_SRC_013,F00_SRC_013_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_013/F00_SRC_013_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_013,0,0,
AI5K_00066,F00_CASE_014,F00,F00_GEOM_014,F00_SRC_014,F00_SRC_014_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_014,0,0,
AI5K_00067,F00_CASE_014,F00,F00_GEOM_014,F00_SRC_014,F00_SRC_014_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_014,0,0,
AI5K_00068,F00_CASE_014,F00,F00_GEOM_014,F00_SRC_014,F00_SRC_014_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_014,0,0,
AI5K_00069,F00_CASE_014,F00,F00_GEOM_014,F00_SRC_014,F00_SRC_014_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_014,0,0,
AI5K_00070,F00_CASE_014,F00,F00_GEOM_014,F00_SRC_014,F00_SRC_014_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_014/F00_SRC_014_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_014,0,0,
AI5K_00071,F00_CASE_015,F00,F00_GEOM_015,F00_SRC_015,F00_SRC_015_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_015,0,0,
AI5K_00072,F00_CASE_015,F00,F00_GEOM_015,F00_SRC_015,F00_SRC_015_V01,AUG_01,PLAN,train,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V01.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_015,0,0,
AI5K_00073,F00_CASE_015,F00,F00_GEOM_015,F00_SRC_015,F00_SRC_015_V02,AUG_02,RISK,train,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V02.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_015,0,0,
AI5K_00074,F00_CASE_015,F00,F00_GEOM_015,F00_SRC_015,F00_SRC_015_V03,AUG_03,VERIFY,train,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V03.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_015,0,0,
AI5K_00075,F00_CASE_015,F00,F00_GEOM_015,F00_SRC_015,F00_SRC_015_V00,AUG_00,RESOURCE,train,data/processed/cv20_augmented/images/F00/F00_SRC_015/F00_SRC_015_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_015,0,0,
AI5K_00076,F00_CASE_016,F00,F00_GEOM_016,F00_SRC_016,F00_SRC_016_V00,AUG_00,GEO,train,data/processed/cv20_augmented/images/F00/F00_SRC_016/F00_SRC_016_V00.png,data/raw/cv20/cad_xt/0.x_t,data/raw/aero_mpkg/json/F00.json,data/processed/process_planning_prompt_v1.txt,F00_SRC_016,0,0,
