case_id,feature_id,method,plan_id,initial_graph_violation,traceback_retries,corrected_after_traceback,final_unresolved_failure,final_status
F00_C01,F00,RAG-based Planner,F00_C01_rag_based_planner,Yes,N/A,No,Yes,unresolved
F00_C02,F00,RAG-based Planner,F00_C02_rag_based_planner,Yes,N/A,No,Yes,unresolved
F00_C03,F00,RAG-based Planner,F00_C03_rag_based_planner,Yes,N/A,No,Yes,unresolved
F00_C04,F00,RAG-based Planner,F00_C04_rag_based_planner,Yes,N/A,No,Yes,unresolved
F00_C05,F00,RAG-based Planner,F00_C05_rag_based_planner,Yes,N/A,No,Yes,unresolved
F01_C01,F01,RAG-based Planner,F01_C01_rag_based_planner,Yes,N/A,No,Yes,unresolved
F01_C02,F01,RAG-based Planner,F01_C02_rag_based_planner,Yes,N/A,No,Yes,unresolved
F01_C03,F01,RAG-based Planner,F01_C03_rag_based_planner,Yes,N/A,No,Yes,unresolved
F01_C04,F01,RAG-based Planner,F01_C04_rag_based_planner,Yes,N/A,No,Yes,unresolved
F01_C05,F01,RAG-based Planner,F01_C05_rag_based_planner,Yes,N/A,No,Yes,unresolved
F02_C01,F02,RAG-based Planner,F02_C01_rag_based_planner,Yes,N/A,No,Yes,unresolved
F02_C02,F02,RAG-based Planner,F02_C02_rag_based_planner,Yes,N/A,No,Yes,unresolved
F02_C03,F02,RAG-based Planner,F02_C03_rag_based_planner,Yes,N/A,No,Yes,unresolved
F02_C04,F02,RAG-based Planner,F02_C04_rag_based_planner,Yes,N/A,No,Yes,unresolved
F02_C05,F02,RAG-based Planner,F02_C05_rag_based_planner,Yes,N/A,No,Yes,unresolved
F03_C01,F03,RAG-based Planner,F03_C01_rag_based_planner,No,,N/A,No,verified
F03_C02,F03,RAG-based Planner,F03_C02_rag_based_planner,No,,N/A,No,verified
F03_C03,F03,RAG-based Planner,F03_C03_rag_based_planner,No,,N/A,No,verified
F03_C04,F03,RAG-based Planner,F03_C04_rag_based_planner,No,,N/A,No,verified
F03_C05,F03,RAG-based Planner,F03_C05_rag_based_planner,No,,N/A,No,verified
F04_C01,F04,RAG-based Planner,F04_C01_rag_based_planner,No,,N/A,No,verified
F04_C02,F04,RAG-based Planner,F04_C02_rag_based_planner,No,,N/A,No,verified
F04_C03,F04,RAG-based Planner,F04_C03_rag_based_planner,No,,N/A,No,verified
F04_C04,F04,RAG-based Planner,F04_C04_rag_based_planner,No,,N/A,No,verified
F04_C05,F04,RAG-based Planner,F04_C05_rag_based_planner,No,,N/A,No,verified
F05_C01,F05,RAG-based Planner,F05_C01_rag_based_planner,No,,N/A,No,verified
F05_C02,F05,RAG-based Planner,F05_C02_rag_based_planner,No,,N/A,No,verified
F05_C03,F05,RAG-based Planner,F05_C03_rag_based_planner,No,,N/A,No,verified
F05_C04,F05,RAG-based Planner,F05_C04_rag_based_planner,No,,N/A,No,verified
F05_C05,F05,RAG-based Planner,F05_C05_rag_based_planner,No,,N/A,No,verified
F06_C01,F06,RAG-based Planner,F06_C01_rag_based_planner,No,,N/A,No,verified
F06_C02,F06,RAG-based Planner,F06_C02_rag_based_planner,No,,N/A,No,verified
F06_C03,F06,RAG-based Planner,F06_C03_rag_based_planner,No,,N/A,No,verified
F06_C04,F06,RAG-based Planner,F06_C04_rag_based_planner,No,,N/A,No,verified
F06_C05,F06,RAG-based Planner,F06_C05_rag_based_planner,No,,N/A,No,verified
F07_C01,F07,RAG-based Planner,F07_C01_rag_based_planner,No,,N/A,No,verified
F07_C02,F07,RAG-based Planner,F07_C02_rag_based_planner,No,,N/A,No,verified
F07_C03,F07,RAG-based Planner,F07_C03_rag_based_planner,No,,N/A,No,verified
F07_C04,F07,RAG-based Planner,F07_C04_rag_based_planner,No,,N/A,No,verified
F07_C05,F07,RAG-based Planner,F07_C05_rag_based_planner,No,,N/A,No,verified
F08_C01,F08,RAG-based Planner,F08_C01_rag_based_planner,No,,N/A,No,verified
F08_C02,F08,RAG-based Planner,F08_C02_rag_based_planner,No,,N/A,No,verified
F08_C03,F08,RAG-based Planner,F08_C03_rag_based_planner,No,,N/A,No,verified
F08_C04,F08,RAG-based Planner,F08_C04_rag_based_planner,No,,N/A,No,verified
F08_C05,F08,RAG-based Planner,F08_C05_rag_based_planner,No,,N/A,No,verified
F09_C01,F09,RAG-based Planner,F09_C01_rag_based_planner,No,,N/A,No,verified
F09_C02,F09,RAG-based Planner,F09_C02_rag_based_planner,No,,N/A,No,verified
F09_C03,F09,RAG-based Planner,F09_C03_rag_based_planner,No,,N/A,No,verified
F09_C04,F09,RAG-based Planner,F09_C04_rag_based_planner,No,,N/A,No,verified
F09_C05,F09,RAG-based Planner,F09_C05_rag_based_planner,No,,N/A,No,verified
F10_C01,F10,RAG-based Planner,F10_C01_rag_based_planner,No,,N/A,No,verified
F10_C02,F10,RAG-based Planner,F10_C02_rag_based_planner,No,,N/A,No,verified
F10_C03,F10,RAG-based Planner,F10_C03_rag_based_planner,No,,N/A,No,verified
F10_C04,F10,RAG-based Planner,F10_C04_rag_based_planner,No,,N/A,No,verified
F10_C05,F10,RAG-based Planner,F10_C05_rag_based_planner,No,,N/A,No,verified
F11_C01,F11,RAG-based Planner,F11_C01_rag_based_planner,No,,N/A,No,verified
F11_C02,F11,RAG-based Planner,F11_C02_rag_based_planner,No,,N/A,No,verified
F11_C03,F11,RAG-based Planner,F11_C03_rag_based_planner,No,,N/A,No,verified
F11_C04,F11,RAG-based Planner,F11_C04_rag_based_planner,No,,N/A,No,verified
F11_C05,F11,RAG-based Planner,F11_C05_rag_based_planner,No,,N/A,No,verified
F12_C01,F12,RAG-based Planner,F12_C01_rag_based_planner,No,,N/A,No,verified
F12_C02,F12,RAG-based Planner,F12_C02_rag_based_planner,No,,N/A,No,verified
F12_C03,F12,RAG-based Planner,F12_C03_rag_based_planner,No,,N/A,No,verified
F12_C04,F12,RAG-based Planner,F12_C04_rag_based_planner,No,,N/A,No,verified
F12_C05,F12,RAG-based Planner,F12_C05_rag_based_planner,No,,N/A,No,verified
F13_C01,F13,RAG-based Planner,F13_C01_rag_based_planner,No,,N/A,No,verified
F13_C02,F13,RAG-based Planner,F13_C02_rag_based_planner,No,,N/A,No,verified
F13_C03,F13,RAG-based Planner,F13_C03_rag_based_planner,No,,N/A,No,verified
F13_C04,F13,RAG-based Planner,F13_C04_rag_based_planner,No,,N/A,No,verified
F13_C05,F13,RAG-based Planner,F13_C05_rag_based_planner,No,,N/A,No,verified
F14_C01,F14,RAG-based Planner,F14_C01_rag_based_planner,No,,N/A,No,verified
F14_C02,F14,RAG-based Planner,F14_C02_rag_based_planner,No,,N/A,No,verified
F14_C03,F14,RAG-based Planner,F14_C03_rag_based_planner,No,,N/A,No,verified
F14_C04,F14,RAG-based Planner,F14_C04_rag_based_planner,No,,N/A,No,verified
F14_C05,F14,RAG-based Planner,F14_C05_rag_based_planner,No,,N/A,No,verified
F15_C01,F15,RAG-based Planner,F15_C01_rag_based_planner,No,,N/A,No,verified
F15_C02,F15,RAG-based Planner,F15_C02_rag_based_planner,No,,N/A,No,verified
F15_C03,F15,RAG-based Planner,F15_C03_rag_based_planner,No,,N/A,No,verified
F15_C04,F15,RAG-based Planner,F15_C04_rag_based_planner,No,,N/A,No,verified
F15_C05,F15,RAG-based Planner,F15_C05_rag_based_planner,No,,N/A,No,verified
F16_C01,F16,RAG-based Planner,F16_C01_rag_based_planner,No,,N/A,No,verified
F16_C02,F16,RAG-based Planner,F16_C02_rag_based_planner,No,,N/A,No,verified
F16_C03,F16,RAG-based Planner,F16_C03_rag_based_planner,No,,N/A,No,verified
F16_C04,F16,RAG-based Planner,F16_C04_rag_based_planner,No,,N/A,No,verified
F16_C05,F16,RAG-based Planner,F16_C05_rag_based_planner,No,,N/A,No,verified
F17_C01,F17,RAG-based Planner,F17_C01_rag_based_planner,No,,N/A,No,verified
F17_C02,F17,RAG-based Planner,F17_C02_rag_based_planner,No,,N/A,No,verified
F17_C03,F17,RAG-based Planner,F17_C03_rag_based_planner,No,,N/A,No,verified
F17_C04,F17,RAG-based Planner,F17_C04_rag_based_planner,No,,N/A,No,verified
F17_C05,F17,RAG-based Planner,F17_C05_rag_based_planner,No,,N/A,No,verified
F18_C01,F18,RAG-based Planner,F18_C01_rag_based_planner,No,,N/A,No,verified
F18_C02,F18,RAG-based Planner,F18_C02_rag_based_planner,No,,N/A,No,verified
F18_C03,F18,RAG-based Planner,F18_C03_rag_based_planner,No,,N/A,No,verified
F18_C04,F18,RAG-based Planner,F18_C04_rag_based_planner,No,,N/A,No,verified
F18_C05,F18,RAG-based Planner,F18_C05_rag_based_planner,No,,N/A,No,verified
F19_C01,F19,RAG-based Planner,F19_C01_rag_based_planner,No,,N/A,No,verified
F19_C02,F19,RAG-based Planner,F19_C02_rag_based_planner,No,,N/A,No,verified
F19_C03,F19,RAG-based Planner,F19_C03_rag_based_planner,No,,N/A,No,verified
F19_C04,F19,RAG-based Planner,F19_C04_rag_based_planner,No,,N/A,No,verified
F19_C05,F19,RAG-based Planner,F19_C05_rag_based_planner,No,,N/A,No,verified
F00_C01,F00,Standard ReAct Agent,F00_C01_standard_react_agent,Yes,1,No,Yes,unresolved
F00_C02,F00,Standard ReAct Agent,F00_C02_standard_react_agent,Yes,1,No,Yes,unresolved
F00_C03,F00,Standard ReAct Agent,F00_C03_standard_react_agent,Yes,2,No,Yes,unresolved
F00_C04,F00,Standard ReAct Agent,F00_C04_standard_react_agent,Yes,2,No,Yes,unresolved
F00_C05,F00,Standard ReAct Agent,F00_C05_standard_react_agent,Yes,2,No,Yes,unresolved
F01_C01,F01,Standard ReAct Agent,F01_C01_standard_react_agent,Yes,2,No,Yes,unresolved
F01_C02,F01,Standard ReAct Agent,F01_C02_standard_react_agent,Yes,2,No,Yes,unresolved
F01_C03,F01,Standard ReAct Agent,F01_C03_standard_react_agent,Yes,2,Yes,No,verified
F01_C04,F01,Standard ReAct Agent,F01_C04_standard_react_agent,Yes,2,Yes,No,verified
F01_C05,F01,Standard ReAct Agent,F01_C05_standard_react_agent,Yes,2,Yes,No,verified
F02_C01,F02,Standard ReAct Agent,F02_C01_standard_react_agent,Yes,2,Yes,No,verified
F02_C02,F02,Standard ReAct Agent,F02_C02_standard_react_agent,Yes,2,Yes,No,verified
F02_C03,F02,Standard ReAct Agent,F02_C03_standard_react_agent,No,,N/A,No,verified
F02_C04,F02,Standard ReAct Agent,F02_C04_standard_react_agent,No,,N/A,No,verified
F02_C05,F02,Standard ReAct Agent,F02_C05_standard_react_agent,No,,N/A,No,verified
F03_C01,F03,Standard ReAct Agent,F03_C01_standard_react_agent,No,,N/A,No,verified
F03_C02,F03,Standard ReAct Agent,F03_C02_standard_react_agent,No,,N/A,No,verified
F03_C03,F03,Standard ReAct Agent,F03_C03_standard_react_agent,No,,N/A,No,verified
F03_C04,F03,Standard ReAct Agent,F03_C04_standard_react_agent,No,,N/A,No,verified
F03_C05,F03,Standard ReAct Agent,F03_C05_standard_react_agent,No,,N/A,No,verified
F04_C01,F04,Standard ReAct Agent,F04_C01_standard_react_agent,No,,N/A,No,verified
F04_C02,F04,Standard ReAct Agent,F04_C02_standard_react_agent,No,,N/A,No,verified
F04_C03,F04,Standard ReAct Agent,F04_C03_standard_react_agent,No,,N/A,No,verified
F04_C04,F04,Standard ReAct Agent,F04_C04_standard_react_agent,No,,N/A,No,verified
F04_C05,F04,Standard ReAct Agent,F04_C05_standard_react_agent,No,,N/A,No,verified
F05_C01,F05,Standard ReAct Agent,F05_C01_standard_react_agent,No,,N/A,No,verified
F05_C02,F05,Standard ReAct Agent,F05_C02_standard_react_agent,No,,N/A,No,verified
F05_C03,F05,Standard ReAct Agent,F05_C03_standard_react_agent,No,,N/A,No,verified
F05_C04,F05,Standard ReAct Agent,F05_C04_standard_react_agent,No,,N/A,No,verified
F05_C05,F05,Standard ReAct Agent,F05_C05_standard_react_agent,No,,N/A,No,verified
F06_C01,F06,Standard ReAct Agent,F06_C01_standard_react_agent,No,,N/A,No,verified
F06_C02,F06,Standard ReAct Agent,F06_C02_standard_react_agent,No,,N/A,No,verified
F06_C03,F06,Standard ReAct Agent,F06_C03_standard_react_agent,No,,N/A,No,verified
F06_C04,F06,Standard ReAct Agent,F06_C04_standard_react_agent,No,,N/A,No,verified
F06_C05,F06,Standard ReAct Agent,F06_C05_standard_react_agent,No,,N/A,No,verified
F07_C01,F07,Standard ReAct Agent,F07_C01_standard_react_agent,No,,N/A,No,verified
F07_C02,F07,Standard ReAct Agent,F07_C02_standard_react_agent,No,,N/A,No,verified
F07_C03,F07,Standard ReAct Agent,F07_C03_standard_react_agent,No,,N/A,No,verified
F07_C04,F07,Standard ReAct Agent,F07_C04_standard_react_agent,No,,N/A,No,verified
F07_C05,F07,Standard ReAct Agent,F07_C05_standard_react_agent,No,,N/A,No,verified
F08_C01,F08,Standard ReAct Agent,F08_C01_standard_react_agent,No,,N/A,No,verified
F08_C02,F08,Standard ReAct Agent,F08_C02_standard_react_agent,No,,N/A,No,verified
F08_C03,F08,Standard ReAct Agent,F08_C03_standard_react_agent,No,,N/A,No,verified
F08_C04,F08,Standard ReAct Agent,F08_C04_standard_react_agent,No,,N/A,No,verified
F08_C05,F08,Standard ReAct Agent,F08_C05_standard_react_agent,No,,N/A,No,verified
F09_C01,F09,Standard ReAct Agent,F09_C01_standard_react_agent,No,,N/A,No,verified
F09_C02,F09,Standard ReAct Agent,F09_C02_standard_react_agent,No,,N/A,No,verified
F09_C03,F09,Standard ReAct Agent,F09_C03_standard_react_agent,No,,N/A,No,verified
F09_C04,F09,Standard ReAct Agent,F09_C04_standard_react_agent,No,,N/A,No,verified
F09_C05,F09,Standard ReAct Agent,F09_C05_standard_react_agent,No,,N/A,No,verified
F10_C01,F10,Standard ReAct Agent,F10_C01_standard_react_agent,No,,N/A,No,verified
F10_C02,F10,Standard ReAct Agent,F10_C02_standard_react_agent,No,,N/A,No,verified
F10_C03,F10,Standard ReAct Agent,F10_C03_standard_react_agent,No,,N/A,No,verified
F10_C04,F10,Standard ReAct Agent,F10_C04_standard_react_agent,No,,N/A,No,verified
F10_C05,F10,Standard ReAct Agent,F10_C05_standard_react_agent,No,,N/A,No,verified
F11_C01,F11,Standard ReAct Agent,F11_C01_standard_react_agent,No,,N/A,No,verified
F11_C02,F11,Standard ReAct Agent,F11_C02_standard_react_agent,No,,N/A,No,verified
F11_C03,F11,Standard ReAct Agent,F11_C03_standard_react_agent,No,,N/A,No,verified
F11_C04,F11,Standard ReAct Agent,F11_C04_standard_react_agent,No,,N/A,No,verified
F11_C05,F11,Standard ReAct Agent,F11_C05_standard_react_agent,No,,N/A,No,verified
F12_C01,F12,Standard ReAct Agent,F12_C01_standard_react_agent,No,,N/A,No,verified
F12_C02,F12,Standard ReAct Agent,F12_C02_standard_react_agent,No,,N/A,No,verified
F12_C03,F12,Standard ReAct Agent,F12_C03_standard_react_agent,No,,N/A,No,verified
F12_C04,F12,Standard ReAct Agent,F12_C04_standard_react_agent,No,,N/A,No,verified
F12_C05,F12,Standard ReAct Agent,F12_C05_standard_react_agent,No,,N/A,No,verified
F13_C01,F13,Standard ReAct Agent,F13_C01_standard_react_agent,No,,N/A,No,verified
F13_C02,F13,Standard ReAct Agent,F13_C02_standard_react_agent,No,,N/A,No,verified
F13_C03,F13,Standard ReAct Agent,F13_C03_standard_react_agent,No,,N/A,No,verified
F13_C04,F13,Standard ReAct Agent,F13_C04_standard_react_agent,No,,N/A,No,verified
F13_C05,F13,Standard ReAct Agent,F13_C05_standard_react_agent,No,,N/A,No,verified
F14_C01,F14,Standard ReAct Agent,F14_C01_standard_react_agent,No,,N/A,No,verified
F14_C02,F14,Standard ReAct Agent,F14_C02_standard_react_agent,No,,N/A,No,verified
F14_C03,F14,Standard ReAct Agent,F14_C03_standard_react_agent,No,,N/A,No,verified
F14_C04,F14,Standard ReAct Agent,F14_C04_standard_react_agent,No,,N/A,No,verified
F14_C05,F14,Standard ReAct Agent,F14_C05_standard_react_agent,No,,N/A,No,verified
F15_C01,F15,Standard ReAct Agent,F15_C01_standard_react_agent,No,,N/A,No,verified
F15_C02,F15,Standard ReAct Agent,F15_C02_standard_react_agent,No,,N/A,No,verified
F15_C03,F15,Standard ReAct Agent,F15_C03_standard_react_agent,No,,N/A,No,verified
F15_C04,F15,Standard ReAct Agent,F15_C04_standard_react_agent,No,,N/A,No,verified
F15_C05,F15,Standard ReAct Agent,F15_C05_standard_react_agent,No,,N/A,No,verified
F16_C01,F16,Standard ReAct Agent,F16_C01_standard_react_agent,No,,N/A,No,verified
F16_C02,F16,Standard ReAct Agent,F16_C02_standard_react_agent,No,,N/A,No,verified
F16_C03,F16,Standard ReAct Agent,F16_C03_standard_react_agent,No,,N/A,No,verified
F16_C04,F16,Standard ReAct Agent,F16_C04_standard_react_agent,No,,N/A,No,verified
F16_C05,F16,Standard ReAct Agent,F16_C05_standard_react_agent,No,,N/A,No,verified
F17_C01,F17,Standard ReAct Agent,F17_C01_standard_react_agent,No,,N/A,No,verified
F17_C02,F17,Standard ReAct Agent,F17_C02_standard_react_agent,No,,N/A,No,verified
F17_C03,F17,Standard ReAct Agent,F17_C03_standard_react_agent,No,,N/A,No,verified
F17_C04,F17,Standard ReAct Agent,F17_C04_standard_react_agent,No,,N/A,No,verified
F17_C05,F17,Standard ReAct Agent,F17_C05_standard_react_agent,No,,N/A,No,verified
F18_C01,F18,Standard ReAct Agent,F18_C01_standard_react_agent,No,,N/A,No,verified
F18_C02,F18,Standard ReAct Agent,F18_C02_standard_react_agent,No,,N/A,No,verified
F18_C03,F18,Standard ReAct Agent,F18_C03_standard_react_agent,No,,N/A,No,verified
F18_C04,F18,Standard ReAct Agent,F18_C04_standard_react_agent,No,,N/A,No,verified
F18_C05,F18,Standard ReAct Agent,F18_C05_standard_react_agent,No,,N/A,No,verified
F19_C01,F19,Standard ReAct Agent,F19_C01_standard_react_agent,No,,N/A,No,verified
F19_C02,F19,Standard ReAct Agent,F19_C02_standard_react_agent,No,,N/A,No,verified
F19_C03,F19,Standard ReAct Agent,F19_C03_standard_react_agent,No,,N/A,No,verified
F19_C04,F19,Standard ReAct Agent,F19_C04_standard_react_agent,No,,N/A,No,verified
